"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NGFR",326.4360986386,-5.37322529575444,0.486003325344252,-8.99834438922151,2.29147026439653e-19,8.7196808755467e-17
"KIF14",233.9374494931,5.52003545306262,0.503982474688528,8.96863617302587,3.00208428098312e-19,1.12672746753939e-16
"SNORD15B",223.878885768627,7.67307246113707,0.744767974535996,8.95993475725714,3.24870572681117e-19,1.20281134463747e-16
"PXDC1",507.810979334051,-4.15954684275516,0.353066135016575,-8.94888104350999,3.59103892545354e-19,1.29445836984256e-16
"RASD1",773.766509467348,-5.38260272897432,0.489773482034146,-8.94822380087287,3.61248045325716e-19,1.29445836984256e-16
"SERTAD1",580.605117711498,-4.45540500802575,0.386188921652503,-8.94744725778272,3.63797702306289e-19,1.29445836984256e-16
"ECRG4",140.306349492967,-5.50234302614842,0.504866629391596,-8.91788596044484,4.75273454168435e-19,1.65302369636987e-16
"FCGR3A",562.943230336074,4.48518932128919,0.390822816488652,8.91756871464638,4.76636513662383e-19,1.65302369636987e-16
"H1_3",268.76633473996,7.40345490854875,0.718734212487201,8.90935035134811,5.13324587557413e-19,1.75800838123725e-16
"PCBP1",1229.44731812687,-3.93732443864146,0.329947299980453,-8.90240483500086,5.46495262416196e-19,1.84850335798505e-16
"ADAM33",286.675736147308,-4.81088470808346,0.429537765974387,-8.87205971153348,7.18052595254576e-19,2.39917134204693e-16
"PER1",1537.75197314968,-5.30683446748848,0.485624178474863,-8.86865740708051,7.40330609549974e-19,2.44380458318677e-16
"OLFM4",403.695204739549,-6.30249824072448,0.599026163763849,-8.8518641780309,8.60694066604422e-19,2.80729714724142e-16
"RNU4_1",149.706626813589,7.58495983041995,0.745143998758461,8.83716414732137,9.81788385187855e-19,3.16459272675022e-16
"H4C2",397.062434197941,9.71692147888438,0.988399094738907,8.81923256029187,1.15246857522543e-18,3.67155046791005e-16
"CCR1",189.571963438578,4.92401532584937,0.448303537319877,8.7530322631594,2.07695281195503e-18,6.54073024620045e-16
"RN7SL3",430.399009680045,10.4488232668424,1.0826698137127,8.72733602356606,2.60741506617242e-18,8.11794977079455e-16
"NR4A2",576.940676364765,-5.0122321901774,0.460277124629909,-8.71699238454112,2.85689351288822e-18,8.79473802990015e-16
"TFF1",348.553933870917,-7.05242836429401,0.696530184095531,-8.6893985393516,3.64363333370813e-18,1.10920295641039e-15
"CCR2",153.192521779815,5.77122902429514,0.555831938823399,8.58394181952735,9.16763507849406e-18,2.76016336132506e-15
"C2CD4B",266.309184935374,-7.41442498486653,0.748274706388304,-8.57228626078653,1.01450527992464e-17,3.02124083254078e-15
"NOCT",451.238811463534,-4.1532535849379,0.367963891769905,-8.56946470962344,1.03967175524149e-17,3.06289534947381e-15
"NCL",5438.4181918606,-3.61250515996446,0.307530776156,-8.49510150697638,1.97760007146356e-17,5.76407305935729e-15
"PER2",654.495059807137,-4.13740603838055,0.371100293861148,-8.4543345566696,2.80683462366119e-17,8.09491105463888e-15
"PIK3CG",167.609283672182,4.60936790018562,0.427564995613561,8.44168240434681,3.12802314130938e-17,8.92724771099942e-15
"RN7SKP80",135.826022110101,7.18964404756513,0.735894922215417,8.41104328989139,4.06379696425043e-17,1.14783411573746e-14
"SNORD17",316.187154814151,7.42696084489697,0.765707828120791,8.39348979971916,4.71920621320177e-17,1.31935522274798e-14
"NEDD4L",2153.40729480861,-4.36980690164183,0.401542281184656,-8.39215957955911,4.77292440303833e-17,1.32089477570146e-14
"RARA",480.698375146172,-4.47985075356396,0.414985990039092,-8.3854656231555,5.05253597726667e-17,1.38429380705152e-14
