ID_REF,SRR1027183,SRR1027184,SRR1027185,SRR1027186,SRR1027187,SRR1027188,SRR1027189,SRR1027190
TYROBP,129,76,247,139,89,88,82,62
TMEM159,94,257,105,125,170,794,1526,1180
GABRA3,22,0,31,0,92,0,0,0
BRCA1,207,1055,330,181,65,57,73,67
ERCC1,143,341,91,117,82,913,806,830
CD22,58,5,48,18,21,18,11,41
SEMA3B,17,10,5,20,15,469,582,394
MBTPS2,305,218,404,243,246,182,300,350
PRICKLE3,25,10,38,20,23,109,132,172
LTF,2765,1052,1058,49,103,30654,5674,6245
EXTL3,188,368,175,232,193,366,674,551
NR1H4,0,0,0,0,0,1,0,0
ELOVL5,2145,1439,929,1682,1195,7502,6545,9071
ALOX5,185,61,213,190,52,305,157,219
KDM5D,0,0,0,0,0,0,0,0
CALCOCO1,342,309,306,192,179,1219,1830,1840
UBR7,137,251,174,249,76,520,468,738
MAP4K5,442,614,406,277,107,549,1145,1341
EHD3,104,46,79,38,133,190,267,334
PSMC4,158,263,278,172,173,1214,1095,1148
MAN2B2,322,115,236,171,143,1048,815,865
SLC7A14,4,0,1,2,2,4,1,6
CLDN11,42,3,7,15,38,99,122,405
SLC25A39,173,323,215,119,113,1795,1048,643
MVP,388,164,602,530,366,1205,1050,1335
NUB1,435,895,568,170,220,638,1026,1044
PGM3,504,1143,739,662,183,800,994,1425
RWDD2A,51,88,72,90,17,118,109,144
CLK1,939,746,770,678,249,6351,4466,3577
POLR3B,99,312,165,119,58,101,89,142
ANGEL1,183,320,250,199,63,388,330,396
RNF14,216,306,349,311,149,464,437,401
DNASE1L1,49,24,32,63,26,152,154,109
DDX11,43,77,38,50,18,93,105,89
HEBP1,138,131,105,109,68,657,576,508
GPRC5A,676,95,342,1463,92,4157,3437,4799
MAMLD1,29,220,8,25,3,92,358,528
CD6,158,30,85,30,12,35,42,24
TACC3,138,144,123,81,50,93,133,72
UFL1,407,654,370,348,158,389,437,559
POLA2,52,35,50,23,5,18,26,8
ZC3H3,90,166,47,67,22,115,271,359
CAPN1,460,226,703,302,509,2410,2000,1609
ACPP,29,4,18,17,11,30,16,25
MDH1,634,797,690,573,361,1384,996,772
SLC30A9,810,942,760,467,356,845,1032,884
MTMR11,63,99,38,61,32,195,199,202
COX15,142,287,168,107,88,332,282,275
CCDC88C,380,570,361,284,73,274,541,460
YAF2,232,315,293,161,62,143,267,286
ZMYND11,648,865,563,465,249,1309,1353,1765
WAS,81,40,41,36,18,39,40,34
DPEP1,22,8,6,5,4,7,1,1
BID,109,346,202,107,72,234,523,242
MATR3,200,255,202,115,30,135,224,184
NPC1L1,3,2,2,11,8,53,63,91
XYLT2,338,92,100,338,92,125,209,170
RGPD5,1,0,0,0,0,0,0,0
STMN4,0,1,0,1,2,4,9,9
NUDCD3,350,519,698,471,408,700,873,896
ISL1,0,14,0,0,0,2,3,1
CHDH,51,357,116,55,41,366,415,279
IL20RA,77,33,18,114,50,459,133,216
CLCA1,0,0,0,4,1,1,0,0
CLCA4,4,0,0,1,0,52,39,32
GLT8D1,239,384,310,105,162,307,415,435
ATP2C1,1209,4886,2014,1165,672,1648,1803,2103
IGF1,51,6,10,41,22,79,328,290
SLC38A5,32,25,60,14,12,55,90,102
RALBP1,285,478,366,245,270,775,979,1329
RUFY3,511,472,427,606,122,420,735,639
CNTN1,81,3,15,106,146,119,462,983
SLC11A1,75,42,50,134,3,8,8,11
WWTR1,398,1422,283,199,367,2661,5972,7993
AGPS,512,352,392,428,147,338,416,410
ZNF806,0,0,0,0,0,0,0,0
CXorf56,72,128,88,60,39,252,200,236
ATP1A2,12,2,0,5,13,138,161,224
TTC27,146,366,222,137,73,375,376,341
ZNF582,23,17,18,34,13,31,23,29
VSIG2,3,1,0,23,5,236,195,102
PHLDB1,369,182,201,251,260,602,1296,1324
MARCO,8,29,20,21,1,31,25,8
CYP24A1,2,194,15,0,1,254,2565,55
PRDM11,43,45,27,94,35,143,191,274
SYT13,12,0,18,24,37,12,19,17
SNAI2,124,225,69,123,114,311,803,1636
CD74,4589,2494,5518,2761,1456,20351,15652,16203
HGF,119,63,66,106,62,211,507,548
ZRANB1,190,604,254,147,88,393,854,830
NCDN,106,80,86,58,80,225,253,236
ADGRA2,158,61,87,104,152,631,1424,1829
CCT8L1P,1,0,0,0,0,0,0,1
ZFP64,98,366,85,52,50,106,132,177
MNAT1,111,220,188,151,51,195,187,225
SAMD4A,222,179,176,108,43,671,2124,2581
RUNX3,110,57,60,49,22,180,324,665
MRE11,328,538,501,290,136,269,367,375
PLEKHB1,65,124,46,12,21,605,259,224
SERPINB1,305,163,384,245,225,1663,1197,1139
CYP3A43,3,0,1,0,0,1,0,0
SLC7A9,0,4,0,3,2,8,10,6
SPAST,288,393,315,179,157,186,357,448
NRXN3,41,25,21,21,12,78,85,82
OSBPL5,51,41,40,104,56,375,576,483
AQR,751,1094,756,890,292,674,690,962
CPS1,45,2,8,64,33,101,125,130
C8B,1,0,0,0,0,9,5,0
FHL1,183,122,80,119,80,1111,1920,2580
RTF2,292,372,353,153,251,1192,780,789
GABRA1,0,0,0,0,1,4,0,0
NLRP2,37,794,350,287,17,81,124,91
SLC45A4,110,728,115,165,126,204,277,406
RNF10,542,601,494,470,312,3174,3143,4297
ZNF839,46,40,38,32,23,112,131,95
ZDHHC6,274,467,330,243,111,356,445,445
GRAMD1B,107,46,85,38,19,52,60,166
RNH1,231,254,289,306,257,1965,1533,1677
NDUFS1,937,1834,781,633,663,999,925,952
RB1CC1,843,2611,576,676,224,818,1891,2361
ERP44,330,494,411,275,175,1180,1112,1264
ALAS1,190,379,506,179,84,1224,770,959
BIRC3,1065,1573,1093,299,341,1975,23891,11453
AKAP11,1383,1522,1416,1313,546,356,864,1115
GLRX2,97,325,154,152,128,86,112,115
SNAPC1,28,45,45,29,16,104,184,231
DERA,126,157,150,200,68,280,226,168
STRAP,456,1045,588,412,327,3058,2376,2603
ABCC2,30,21,41,23,118,10,19,18
DEF6,112,81,131,65,67,169,123,130
PLEKHO1,212,185,231,108,85,540,656,627
GCLM,98,313,174,95,85,406,310,586
UBR2,939,2076,1149,812,541,595,696,867
EHD2,133,29,77,123,80,642,1478,2028
DEPDC1,122,422,140,127,28,4,22,5
CCDC28A,62,127,70,33,34,241,150,182
RRAGD,100,154,155,86,67,300,364,531
HSF2,96,231,126,139,58,242,387,387
PHF20,545,551,487,403,246,544,916,1713
HSD17B6,13,19,8,28,19,14,9,3
NR1H3,155,81,323,82,30,374,403,236
TYMP,370,261,701,419,134,974,739,412
NCAPH2,114,171,137,104,50,468,419,326
TOMM34,113,248,107,52,40,797,673,708
SEC63,736,1657,1173,513,399,1850,1685,2744
KPNA6,609,1572,775,502,235,645,1399,1654
VIM,2562,6463,2263,1872,947,13268,13727,16713
RTEL1_TNFRSF6B,14,9,29,19,13,41,39,31
FAS,265,790,226,87,70,532,920,710
RNASET2,190,106,189,135,135,352,265,192
CD44,2671,3616,4592,1989,1162,6919,7426,13625
KCNG1,51,240,11,4,22,33,37,52
AGPAT4,155,68,84,93,31,122,301,294
SLAMF7,272,595,948,104,44,20,62,44
BTN3A1,440,461,557,113,110,325,678,586
MIPEP,179,197,285,166,143,352,234,172
PRKCH,536,193,512,225,149,490,965,1237
INSRR,7,2,5,0,3,5,29,17
IFNGR1,686,1353,651,873,431,1957,3010,2657
B4GALT7,63,43,93,57,30,144,130,84
SH2D2A,44,15,26,9,9,42,25,20
VRK2,232,366,311,194,66,211,263,263
TNFRSF1B,332,157,262,149,119,258,979,940
VEZT,631,713,538,763,381,874,1380,1486
POU2F2,58,31,110,29,20,406,33,61
BRD9,327,264,160,136,64,324,424,331
SNX1,1195,943,541,456,290,1711,1696,2010
TBPL1,62,153,116,85,55,249,206,236
ARNTL2,137,357,156,52,34,189,543,336
BCLAF1,990,1671,1380,877,274,908,1212,1425
SLC39A9,756,879,921,1081,438,995,1197,1365
ANK1,13,4,11,4,21,4,82,13
IBSP,4,13,4,17,3,2,0,0
TFB1M,76,207,89,64,20,50,53,39
RABEP1,610,1181,677,701,637,993,1118,1743
HMGB3,381,943,751,567,212,647,164,385
NUP160,540,1239,621,473,227,591,1035,1127
BAK1,34,91,46,18,34,97,124,92
MUSK,10,1,7,23,0,1,0,3
